"","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre"
"48",47,16,48,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",60,4.6,"Zhi Gang Sha","Hardcover",2009,"Non Fiction"
"49",48,21.98,51,"Diary of a Wimpy Kid Do-it-yourself Book",9371,4.8,"Jeff Kinney","Hardcover",2009,"Fiction"
"50",49,15.71,52,"Open: An Autobiography",8639,4.7,"Andre Agassi","Hardcover",2009,"Non Fiction"
"51",50,9.78,53,"Pride and Prejudice and Zombies",2047,4.3,"Jane Austen","Paperback",2009,"Fiction"
"52",51,10.95,54,"Cook Yourself Thin: Skinny Meals You Can Make in Minutes",888,4.3,"Lifetime Television,","Paperback",2009,"Non Fiction"
"53",52,9.54,55,"Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories",901,4.4,"Lisa Lillien","Paperback",2009,"Non Fiction"
"54",53,18.49,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",11833,4.7,"Christopher McDougall","Hardcover",2009,"Non Fiction"
"55",54,7.96,57,"A Bold Fresh Piece of Humanity",764,4.7,"Bill O'Reilly","Hardcover",2009,"Non Fiction"
"56",55,14.52,58,"The Pioneer Woman Cooks: Recipes from an Accidental Country Girl",5477,4.8,"Ree Drummond","Hardcover",2009,"Non Fiction"
"57",56,6.99,59,"The Book Thief",34536,4.7,"Markus Zusak","Paperback",2009,"Fiction"
"58",57,15.85,60,"South of Broad",2484,4.5,"Pat Conroy","Hardcover",2009,"Fiction"
"59",58,10.33,61,"The Omnivore's Dilemma: A Natural History of Four Meals",3678,4.6,"Michael Pollan","Paperback",2009,"Non Fiction"
"60",59,20.58,62,"The Host",9715,4.6,"Stephenie Meyer","Hardcover",2009,"Fiction"
"61",60,9.79,63,"Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!",929,4.3,"Jillian Michaels","Hardcover",2009,"Non Fiction"
"62",61,11.3,64,"Ford County: Stories",4306,4.4,"John Grisham","Hardcover",2009,"Fiction"
"63",62,9.06,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",1094,4.6,"Michelle Malkin","Hardcover",2009,"Non Fiction"
"64",63,11.04,66,"Blink: The Power of Thinking Without Thinking",8638,4.5,"Malcolm Gladwell","Paperback",2009,"Non Fiction"
"65",64,16.97,67,"Diary of a Wimpy Kid, Book 1",16590,4.8,"Jeff Kinney","Hardcover",2009,"Fiction"
"66",65,15.2,68,"The Graveyard Book",7133,4.7,"Neil Gaiman","Hardcover",2009,"Fiction"
"67",66,28.99,69,"An Echo in the Bone (Outlander)",16893,4.8,"Diana Gabaldon","Hardcover",2009,"Fiction"
"68",67,19.81,70,"The Gathering Storm (Wheel of Time, Book 12)",6337,4.8,"Robert Jordan","Hardcover",2009,"Fiction"
"69",68,16.99,71,"Dreams from My Father: A Story of Race and Inheritance",7581,4.7,"Barack Obama","Paperback",2009,"Non Fiction"
"70",69,14.49,72,"Pirate Latitudes: A Novel",2837,4.3,"Michael Crichton","Hardcover",2009,"Fiction"
"71",70,6.21,73,"The Official SAT Study Guide: For the New SAT (tm)",267,4.5,"The College Board","Paperback",2009,"Non Fiction"
"72",71,24.95,74,"Getting Things Done: The Art of Stress-Free Productivity",4736,4.6,"David Allen","Paperback",2009,"Non Fiction"
"73",72,10.5,75,"How to Win Friends & Influence People",79094,4.7,"Dale Carnegie","Paperback",2009,"Non Fiction"
"74",73,41,76,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2009,"Non Fiction"
"75",74,14.01,77,"Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels)",3294,4.6,"Janet Evanovich","Hardcover",2009,"Fiction"
"76",75,10.83,78,"Sarah's Key",4784,4.6,"Tatiana de Rosnay","Paperback",2009,"Fiction"
"77",76,7.99,79,"From Dead to Worse (Sookie Stackhouse/True Blood)",2080,4.7,"Charlaine Harris","Mass Market Paperback",2009,"Fiction"
"78",77,34.23,80,"Wolf Hall",10808,4.1,"Hilary Mantel","Hardcover",2009,"Fiction"
"79",78,22.6,81,"The Hunger Games",42770,4.7,"Suzanne Collins","Hardcover",2009,"Fiction"
"80",79,13.2,82,"The Yankee Years",425,4.6,"Joe Torre","Hardcover",2009,"Non Fiction"
"81",80,23.95,83,"Push: A Novel",1477,4.6,"Sapphire","Paperback",2009,"Fiction"
"82",81,14.95,84,"The End of Overeating: Taking Control of the Insatiable American Appetite",956,4.3,"David Kessler","Hardcover",2009,"Non Fiction"
"83",82,11.52,85,"The Lacuna: A Novel",1787,4.3,"Barbara Kingsolver","Hardcover",2009,"Fiction"
"84",83,17.99,86,"Crucial Conversations: Tools for Talking When Stakes are High",772,4.5,"Kerry Patterson","Paperback",2009,"Non Fiction"
"85",84,10.97,87,"Half the Sky: Turning Oppression into Opportunity for Women Worldwide",2194,4.7,"Nicholas D. Kristof","Hardcover",2009,"Non Fiction"
"86",85,11.95,88,"The Associate",3826,4.4,"John Grisham","Hardcover",2009,"Fiction"
"87",86,22.72,89,"Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking",2189,4.7,"Jeff Hertzberg","Hardcover",2009,"Non Fiction"
"88",87,9.99,90,"Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition)",312,4.5,"Sarah Thomson","Paperback",2009,"Non Fiction"
"89",88,9.31,91,"Pursuit of Honor",3525,4.7,"Vince Flynn","Hardcover",2009,"Fiction"
"90",89,23.65,92,"What the Dog Saw: And Other Adventures",2143,4.6,"Malcolm Gladwell","Hardcover",2009,"Non Fiction"
"91",90,13.99,93,"The Last Song",3597,4.7,"Nicholas Sparks","Hardcover",2009,"Fiction"
"92",91,17.99,94,"Atlas Shrugged",14137,4.5,"Ayn Rand","Paperback",2009,"Fiction"
"93",92,10.79,95,"The White Tiger: A Novel",6013,4.3,"Aravind Adiga","Paperback",2009,"Fiction"
