"","book_id","ranks","ratings"
"266",12180,73,4.4
"267",12356,74,4.6
"268",11825,NA,4.2
"269",13694,76,4
"270",11186,NA,4.6
"271",12252,78,4.9
"272",11044,79,4.6
"273",14633,80,4.6
"274",12750,NA,4.6
"275",14317,82,4.8
"276",11698,83,4.5
"277",12314,84,4.6
"278",12553,85,4.4
"279",14727,86,4.5
"280",12799,87,4.7
"281",14757,NA,4.5
"282",13771,89,4.7
"283",14243,90,4.4
"284",11871,NA,4.7
"285",11741,92,4.6
"286",11315,93,4.8
"287",14513,94,3.5
"288",12996,95,4.5
"289",11931,96,4.6
"290",12770,97,4.8
"291",14096,98,4.7
"292",14379,99,4.7
"293",13157,NA,4.4
"294",12260,1,4
"295",13227,2,4.5
"296",13124,3,4.5
"297",12731,NA,4.7
"298",13341,5,4.1
"299",12226,6,4.6
"300",12185,7,4.7
"301",11269,8,4.6
"302",11267,9,NA
"303",13789,10,4.6
"304",11783,11,4.8
"305",13553,12,4.1
"306",13445,13,4.8
"307",12479,14,4.4
"308",11400,15,4.6
"309",11103,16,4.6
"310",13723,17,4.5
"311",12471,18,4.7
"312",13264,19,4.8
"313",13197,20,4.4
"314",14282,21,4.7
"315",11577,22,4.8
"316",14156,23,4.6
"317",12041,24,3.4
"318",13090,25,4.7
"319",13983,26,4.7
"320",13338,27,4.7
"321",13812,28,4.4
"322",12393,29,4.9
"323",12020,30,4.6
"324",14284,31,4.6
"325",11986,32,4.6
"326",12331,33,4.5
"327",11335,34,4.4
"328",11026,35,4.3
"329",12855,36,4.9
"330",11828,37,4.7
"331",12161,38,4.7
"332",13008,39,4.8
"333",11018,40,NA
"334",13319,41,4.5
"335",12077,42,4.6
"336",13451,43,4.8
"337",13950,44,4.5
"338",13353,NA,4.7
"339",14790,46,4.9
"340",14701,47,4.5
"341",11480,48,4.6
"342",11356,49,4.5
"343",14483,50,4.5
"344",14715,NA,4.7
"345",14290,52,4.8
"346",14703,NA,4.8
"347",12495,54,4.5
"348",13332,55,4.5
"349",13985,56,NA
"350",11447,57,4.3
"351",11192,58,4.5
"352",11059,59,4.6
"353",14875,60,4.7
"354",14578,61,NA
"355",14630,62,4.4
"356",14567,63,4.7
"357",13768,64,4.5
"358",13110,65,4.3
"359",13613,66,4.7
"360",12922,67,4.8
"361",12942,68,4.5
"362",13335,69,4.6
"363",12439,70,4.5
"364",14051,71,4.6
"365",13054,72,4.6
"366",14209,73,NA
"367",12089,74,4.4
"368",13872,75,4.3
"369",11287,76,4.5
"370",12913,77,4.7
"371",12813,78,4.5
"372",14455,79,4.9
"373",11131,80,4.6
"374",11140,81,4.5
"375",14151,82,4.3
"376",13442,83,4.7
"377",13676,84,4.7
"378",11436,85,4.6
"379",13732,86,4.8
"380",12576,87,3.8
"381",13715,NA,4.5
"382",12830,89,4.5
"383",13852,90,4.7
"384",13261,91,4.8
"385",13804,92,4.8
"386",13402,93,4.6
"387",12981,94,4.8
"388",14640,95,4.8
"389",11270,96,4.6
"390",13144,97,NA
"391",13966,NA,NA
"392",11565,99,4.8
"393",12884,100,4.7
"394",14429,NA,4.1
"395",13266,2,4.5
"396",11816,3,4.8
"397",12345,NA,4.9
"398",13404,5,4.9
"399",13923,6,4.2
"400",14354,7,4.8
"401",13055,8,4.7
"402",13590,9,4.5
"403",14366,10,4.5
"404",12033,11,4.4
"405",12622,12,4.7
"406",14276,13,4.4
"407",12766,14,NA
"408",11151,NA,4.7
"409",13029,16,4.8
"410",13640,17,4.7
"411",12367,18,4.5
"412",13171,19,4.7
"413",12599,20,4.6
"414",13739,21,4.9
"415",11393,22,4.5
"416",12307,23,4.6
"417",14351,24,3.9
"418",14946,25,4.4
"419",12643,26,4.8
"420",14259,27,4.9
"421",11179,28,4.7
"422",11177,29,4.5
"423",13699,30,4
"424",12251,31,4.7
"425",12430,32,4.1
"426",14526,33,4.7
"427",11657,34,4.6
"428",14162,35,4.9
"429",14235,36,4.6
"430",12718,37,4.4
"431",14144,38,4.8
"432",14363,39,4.8
"433",11132,40,4.8
"434",14587,41,NA
"435",11751,42,4.8
"436",14606,43,4.6
"437",14944,44,4.6
"438",14491,45,4
"439",11371,NA,4.6
"440",13808,47,4.1
"441",11664,48,4.7
"442",11836,49,4.8
"443",14690,50,4.6
"444",11435,51,4.8
"445",13126,52,4.6
"446",14569,53,4.7
"447",11912,54,4.2
"448",13612,55,4.8
"449",11744,56,4.8
"450",14928,57,4.8
"451",14736,58,NA
"452",11692,59,4.8
"453",13850,60,4.5
"454",11427,61,4.7
"455",14464,62,4.4
"456",11204,63,4.7
"457",11222,64,4.8
"458",14186,65,4.7
"459",11125,66,4.6
"460",14050,67,4.6
"461",13726,68,4.6
"462",13477,69,4.9
"463",11885,70,4.7
"464",11855,71,4.6
"465",11444,72,4.6
"466",12347,73,4.3
"467",12502,74,4.9
"468",12756,75,4.6
"469",11273,76,4.7
"470",13426,77,4.6
"471",11691,78,4.7
"472",11795,79,3.8
"473",11191,80,4.7
"474",11787,81,4.7
"475",13086,82,4.7
"476",12901,83,4.5
"477",13186,84,4.5
"478",13183,85,4.5
"479",13645,86,4.5
"480",11613,87,4.7
"481",13248,88,4.5
"482",13799,89,4.6
"483",14754,90,4.4
"484",12533,NA,4.2
"485",12698,92,4.8
"486",11149,NA,4.7
"487",12001,94,NA
"488",13056,95,4.5
"489",11906,96,4.3
"490",12064,NA,4.7
"491",14339,98,4.4
"492",13565,99,4.5
"493",12361,100,4.8
"494",14846,1,4.1
"495",13738,2,NA
"496",12021,3,4.6
"497",12631,4,4.7
"498",11134,5,4.8
"499",14871,6,4.7
"500",14915,7,4.8
"501",12827,NA,4.9
"502",12477,NA,4.8
"503",13258,10,NA
"504",14977,11,4.8
"505",14373,12,4.7
"506",13745,13,4.7
"507",13955,14,4.9
"508",14639,15,4.8
"509",11053,16,4.1
"510",12436,17,4.7
"511",12545,18,4.4
"512",13832,19,4.8
"513",12640,20,4
"514",14861,21,4.7
"515",12629,22,4.8
"516",13435,23,NA
"517",14829,24,4.9
"518",14157,25,4.7
"519",12953,26,4.5
"520",13982,27,4.6
"521",13363,28,4.5
"522",13163,29,4.9
"523",12321,30,4.6
"524",12060,31,4.7
"525",11107,32,NA
"526",13544,33,4.7
"527",13573,34,4.6
"528",14091,35,4.5
"529",14886,36,NA
"530",12925,37,4.6
"531",13057,38,4.7
"532",14561,39,NA
"533",13733,40,4.6
"534",13589,41,NA
"535",11283,42,4.8
"536",13848,43,4.6
"537",14706,44,NA
"538",14069,45,4.6
"539",14924,46,4.5
"540",12916,47,4.8
"541",14529,48,4.9
"542",14382,49,4.6
"543",13324,51,3.9
"544",11463,52,4.3
"545",13428,53,4.6
"546",11914,54,4.7
"547",12997,55,4.7
"548",11645,56,4.7
"549",12591,57,4.8
"550",13655,58,4.6
"551",14957,59,4.9
"552",13497,NA,4.7
"553",14462,61,NA
"554",14082,62,4.7
"555",12453,63,4.6
"556",11628,64,4.9
"557",14094,NA,4.8
"558",14722,66,4.8
"559",12989,67,4.8
"560",11932,68,4.4
"561",13485,69,4.1
"562",13125,70,4.8
"563",13972,NA,4.9
"564",13620,72,4.5
"565",12789,NA,4.7
"566",14045,74,4.6
"567",14103,75,4.7
"568",11701,76,4.5
"569",12389,77,NA
"570",11851,78,4.8
"571",12973,79,4.7
"572",12040,80,NA
"573",14785,81,4.9
"574",11225,82,4.4
"575",13123,83,4.6
"576",14707,84,4.7
"577",12680,85,NA
"578",13182,86,4.6
"579",12586,87,4.9
"580",14422,NA,4.6
"581",13878,89,4.3
"582",14001,90,4.8
"583",11281,91,NA
"584",11405,92,4.7
"585",12222,93,4.7
"586",14862,94,4.7
"587",12512,95,4.6
"588",12164,96,4.7
"589",13457,97,4.9
"590",11261,98,4.7
"591",14835,99,4.7
"592",11304,100,4.5
"593",11048,1,4.7
"594",12270,2,4.5
"595",13450,3,4.6
"596",11045,4,4.7
"597",11535,5,4.1
"598",13718,6,3.7
"599",12860,7,4.7
"600",12305,8,4.6
"601",14155,9,4.1
"602",12626,10,4.5
"603",13664,11,4.8
"604",13221,12,4.8
"605",13214,13,4.6
"606",14515,14,4.5
"607",13045,15,4.9
"608",12127,16,4.7
"609",12759,17,4.9
"610",13151,18,4.5
"611",12987,19,4.8
"612",11298,20,4.8
"613",12615,21,4.8
"614",13081,22,4.9
"615",12310,NA,4.6
"616",12676,24,4.5
"617",11385,25,4.8
"618",14192,26,4.7
"619",14115,NA,4.8
"620",12213,28,4.6
"621",11861,29,4.7
"622",11124,30,NA
"623",12621,31,4.8
"624",14666,32,4.8
"625",14648,33,4.7
"626",11848,34,4.7
"627",11323,NA,4.8
"628",13918,36,4.9
"629",12593,37,4.9
"630",11039,38,4.5
"631",11219,39,4.7
"632",14764,40,4.7
"633",13885,41,4.8
"634",13721,42,4.7
"635",11078,43,4.6
"636",12550,44,NA
"637",12861,45,4.8
"638",11429,46,4.8
"639",11763,47,4.7
"640",12859,48,4.8
"641",11025,49,4.6
"642",14176,50,4.6
"643",11288,51,4.7
"644",14773,52,4.5
"645",11411,NA,4.7
"646",14194,54,4.6
"647",11166,55,4.4
"648",12080,56,4.7
"649",12653,57,4.7
"650",13022,58,4.9
"651",11587,59,4.9
"652",14556,60,4.7
"653",14607,61,4.4
"654",13625,62,4.8
"655",12282,63,4.2
"656",13719,64,4.7
"657",11993,65,4.8
"658",12896,66,4.6
"659",14747,67,4.8
"660",13216,68,4.7
"661",12775,69,4.6
"662",12946,70,4.6
"663",14750,71,4.8
"664",12029,72,4.4
"665",14626,73,4.5
"666",11984,74,4.7
"667",12199,75,4.6
"668",14971,76,4
"669",11716,77,4.7
"670",14535,78,4.8
"671",11388,79,4.9
"672",13174,80,4.4
"673",14009,81,NA
"674",12498,82,4.7
"675",13279,83,4.8
"676",12146,84,4.7
"677",11731,85,4.9
"678",14573,86,4.8
"679",11780,87,4.6
"680",11079,88,4.6
"681",11820,89,4.7
"682",11888,90,4.7
"683",13647,91,4.5
"684",13488,92,4.6
"685",14961,93,4.8
"686",14414,94,4.9
"687",13136,95,4.9
"688",13371,96,4.7
"689",14180,97,4.7
"690",12422,98,4.2
"691",13469,99,4.5
"692",11243,100,4.6
"693",13367,1,4.3
"694",14592,2,4.1
"695",14109,3,4.7
"696",14850,4,4.5
"697",13031,5,4.9
"698",13093,6,4.8
"699",11174,7,4.8
"700",14810,8,4.8
"701",12807,9,4.8
"702",12638,NA,4.6
"703",12067,11,NA
"704",13373,12,4.8
"705",12791,13,4.7
"706",13168,14,4.8
"707",11669,15,4.6
"708",12138,16,4.8
"709",12919,17,4.5
"710",11313,18,4.7
"711",12190,19,NA
"712",14175,20,4.1
"713",12972,21,NA
"714",11545,22,4.4
"715",12811,23,4.5
"716",11456,24,4.7
"717",11141,25,4.7
"718",13575,26,4.8
"719",15000,27,4.7
"720",14877,28,4.8
"721",13492,29,NA
"722",13659,30,4.7
"723",12094,31,NA
"724",13030,32,NA
"725",13677,33,4.9
"726",13066,34,4.7
"727",14490,35,4.6
"728",12708,NA,4.7
"729",14870,37,4.5
"730",11593,38,4.7
"731",14130,39,4.7
"732",14281,40,4.6
"733",11437,41,4.8
"734",11979,42,4.9
"735",12693,43,NA
"736",14390,NA,NA
"737",14169,45,4.9
"738",11139,46,4.9
"739",13562,NA,4.7
"740",13370,48,4.7
"741",14955,49,4.8
"742",13420,50,4.9
"743",14601,51,4.6
"744",12815,52,4.9
"745",13386,53,4.5
"746",14749,54,4.6
"747",12968,55,4.6
"748",14786,56,4.9
"749",11964,57,4.7
"750",13316,58,4.9
"751",12927,59,4.4
"752",11792,60,4.8
"753",14857,61,4.7
"754",14283,62,4.7
"755",13189,63,4.5
"756",11104,64,4.8
"757",12419,65,4.7
"758",12955,66,4.2
"759",13931,67,NA
"760",13430,68,4.5
"761",14048,69,4.9
"762",11978,70,4.8
"763",12435,71,4.5
"764",12047,72,4.6
"765",13703,73,4.5
"766",14241,74,4.5
"767",14080,75,4.8
"768",11982,76,4.9
"769",14848,77,4.6
"770",13720,78,4.9
"771",11293,79,4.8
"772",11667,80,4.7
"773",11037,81,4.7
"774",13662,82,4.8
"775",13096,83,4.7
"776",12729,84,4.4
"777",14007,85,NA
"778",12484,86,4.8
"779",14136,87,4.7
"780",11771,88,4.7
"781",14191,89,4.7
"782",12745,90,4.8
"783",11764,91,4.8
"784",11910,92,4.9
"785",11483,93,4.6
"786",12221,94,4.7
"787",13083,95,4.7
"788",12489,NA,NA
"789",13601,97,4.6
"790",11384,NA,4.9
"791",11988,99,4.8
"792",12357,100,4.8
"793",12328,1,4.8
"794",11086,2,4.7
"795",12111,3,NA
"796",13846,4,4.6
"797",11579,5,4.8
"798",11975,6,4.4
"799",14878,7,4.5
"800",14486,8,4.7
"801",14635,9,4.7
"802",14631,10,4.6
"803",13597,11,4.4
"804",11472,12,4.8
"805",13115,13,4.7
"806",11904,14,4.6
"807",13372,15,4.9
"808",11006,16,4.7
"809",14593,17,4.7
"810",11693,18,4.7
"811",12072,19,4.4
"812",14280,20,4.7
"813",13803,21,4.8
"814",14831,22,4.8
"815",11197,23,4.7
"816",12634,24,4.8
"817",11117,25,4.1
"818",14779,26,4.9
"819",13881,27,4.7
"820",11355,28,4.5
"821",14411,29,4.5
"822",13310,30,4.6
"823",13021,31,4.6
"824",13537,32,NA
"825",13680,33,4.9
"826",14074,34,4.5
"827",14394,35,4.6
"828",12106,36,4.9
"829",13490,37,4.9
"830",12565,38,4.8
"831",12616,39,4.9
"832",14899,40,4.9
"833",11611,41,4.9
"834",11370,42,4.8
"835",11209,43,4.6
"836",11893,44,4.7
"837",11788,45,4.5
"838",14518,46,4.7
"839",14840,47,4.9
"840",13527,48,4.9
"841",14201,49,4.7
"842",11060,50,4.6
"843",12129,51,4.8
"844",14030,52,4.7
"845",13479,53,4.6
"846",14148,54,4.5
"847",11709,55,4.6
"848",12706,56,4.6
"849",11425,57,4.9
"850",12231,58,4.8
"851",14453,59,4.6
"852",14768,60,4.5
"853",11327,61,4.7
"854",14965,62,4.7
"855",11502,63,4.2
"856",14618,64,4.9
"857",11676,65,4.8
