"","X","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre","book_id"
"1",1,0,12.49,1,"The Lost Symbol",16118,4.4,"Dan Brown","Hardcover",2009,"Fiction",14548
"2",2,1,13.4,2,"The Shack: Where Tragedy Confronts Eternity",23392,4.7,"William P. Young","Paperback",2009,"Fiction",13314
"3",3,2,9.93,3,"Liberty and Tyranny: A Conservative Manifesto",5036,4.8,"Mark R. Levin","Hardcover",2009,"Non Fiction",14138
"4",4,3,14.3,4,"Breaking Dawn (The Twilight Saga, Book 4)",16912,4.7,"Stephenie Meyer","Hardcover",2009,"Fiction",14681
"5",5,4,9.99,5,"Going Rogue: An American Life",1572,4.6,"Sarah Palin","Hardcover",2009,"Non Fiction",13118
"6",6,5,18.29,6,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2009,"Non Fiction",14660
"7",7,6,12.66,7,"The Help",18068,4.8,"Kathryn Stockett","Hardcover",2009,"Fiction",12082
"8",8,7,17.56,8,"New Moon (The Twilight Saga)",12329,4.7,"Stephenie Meyer","Paperback",2009,"Fiction",11971
"9",9,8,58.9,9,"The Twilight Saga Collection",6100,4.7,"Stephenie Meyer","Hardcover",2009,"Fiction",13893
"10",10,9,16.04,10,"Outliers: The Story of Success",22209,4.7,"Malcolm Gladwell","Hardcover",2009,"Non Fiction",13902
"11",11,10,19.62,NA,"Eclipse (Twilight)",12771,4.7,"Stephenie Meyer","Hardcover",2009,"Fiction",12562
"12",12,11,15.49,12,"Twilight (The Twilight Saga, Book 1)",22103,4.7,"Stephenie Meyer","Paperback",2009,"Fiction",14489
"13",13,12,5.91,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",1421,4.6,"Glenn Beck","Paperback",2009,"Non Fiction",12474
"14",14,13,11.49,14,"Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time",3497,4.4,"Greg Mortenson","Paperback",2009,"Non Fiction",11516
"15",15,14,11.78,15,"The Love Dare",3298,4.8,"Stephen Kendrick","Paperback",2009,"Non Fiction",13410
"16",16,15,20.45,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",7043,4.6,"Steve Harvey","Hardcover",2009,"Non Fiction",12803
"17",17,16,11.6,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",7979,4.7,"Jeff Kinney","Hardcover",2009,"Fiction",11440
