"","book_id","no_of_copies_sold","price","year"
"202",11295,20243,14.35,2011
"203",12441,37034,9.08,2011
"204",14439,6354,54.98,2011
"205",14185,32459,9.49,2011
"206",13657,3104,16.97,2011
"207",12785,17252,24.31,2011
"208",14560,11657,9.99,2011
"209",11998,10849,9.99,2011
"210",12874,12674,24.29,2011
"211",12306,18068,9.98,2011
"212",14329,16936,12.1,2011
"213",12246,3115,16.43,2011
"214",14541,1526,41,2011
"215",14980,31196,7.53,2011
"216",12899,27185,59.9,2011
"217",12051,6790,12,2011
"218",11185,8169,10.28,2011
"219",13936,6580,15.96,2011
"220",14063,7589,14.49,2011
"221",11622,7012,23.99,2011
"222",13233,1920,16.48,2011
"223",14669,6155,18.19,2011
"224",11618,11051,11.93,2011
"225",14226,4923,11.28,2011
"226",13315,6296,20.72,2011
"227",11294,9887,12.8,2011
"228",13342,4514,17.12,2011
"229",11881,1676,19.99,2011
"230",12656,3821,13.91,2011
"231",11840,3567,9.99,2011
"232",14459,5803,16.5,2011
"233",14146,11507,19,2011
"234",11711,2172,20.65,2011
"235",12075,18068,10.49,2011
"236",13729,29732,23.87,2011
"237",14849,5284,15.99,2011
"238",13851,2727,9.21,2011
"239",11417,16418,9.8,2011
"240",11854,860,22.99,2011
"241",11167,9950,12.99,2011
"242",11887,5331,24,2011
"243",12527,29389,18,2011
"244",11511,8837,18.89,2011
"245",14781,669,13.08,2011
"246",14694,15466,9.49,2011
"247",11717,1694,25.41,2011
"248",13571,3912,16.99,2011
"249",13244,1753,11.99,2011
"250",14641,13221,10.41,2011
"251",12438,5965,13.58,2011
"252",12755,18656,6.79,2011
"253",12409,18068,13.78,2011
"254",13534,4649,21.99,2011
"255",14880,1774,13.81,2011
"256",12547,16756,16.13,2011
"257",11776,2349,15.64,2011
"258",14594,1781,17.36,2011
"259",13307,19006,12.06,2011
"260",11571,34536,6.99,2011
"261",11286,18929,13.39,2011
"262",12808,42848,8.48,2011
"263",11921,1003,8.93,2011
"264",14896,6293,22.79,2011
"265",11404,865,14.52,2011
"266",12180,726,24.33,2011
"267",12356,489,12.94,2011
"268",11825,3966,19.1,2011
"269",13694,4365,11.59,2011
"270",11186,5774,16.2,2011
"271",12252,91628,38.86,2011
"272",11044,4629,14.99,2011
"273",14633,11732,15.98,2011
"274",12750,3242,16.97,2011
"275",14317,11549,14.53,2011
"276",11698,9750,10.43,2011
"277",12314,6239,13.49,2011
"278",12553,5732,12.99,2011
"279",14727,10429,14.98,2011
"280",12799,22209,15.71,2011
"281",14757,2800,8.69,2011
"282",13771,10693,11.12,2011
"283",14243,1156,20.25,2011
"284",11871,3816,25,2011
"285",11741,4736,24.95,2011
"286",11315,2654,13.03,2011
"287",14513,776,17.89,2011
"288",12996,5489,10.79,2011
"289",11931,3762,14.44,2011
"290",12770,22268,20.61,2011
"291",14096,5893,8.79,2011
"292",14379,11833,9.99,2011
"293",13157,303,39.99,2011
"294",12260,60233,13.99,2012
"295",13227,32887,13.99,2012
"296",13124,32375,13.88,2012
"297",12731,42770,11.69,2012
"298",13341,7082,18.29,2012
"299",12226,38220,19.49,2012
"300",12185,32459,9.49,2012
"301",11269,37034,9.08,2012
"302",11267,12521,13.95,2012
"303",13789,9676,16.89,2012
"304",11783,27185,59.9,2012
"305",13553,66978,15.21,2012
"306",13445,13958,11.26,2012
"307",12479,1526,41,2012
"308",11400,6354,54.98,2012
"309",11103,10410,17.68,2012
"310",13723,12674,24.29,2012
"311",12471,10849,9.99,2012
"312",13264,33629,14.54,2012
"313",13197,16915,12.79,2012
"314",14282,7012,23.99,2012
"315",11577,2346,17.99,2012
"316",14156,29732,23.87,2012
"317",12041,10955,11,2012
"318",13090,19005,9.49,2012
"319",13983,22727,19.19,2012
"320",13338,12780,17.33,2012
"321",13812,8638,13.96,2012
"322",12393,42848,8.48,2012
"323",12020,1676,19.99,2012
"324",14284,6269,20.72,2012
"325",11986,20015,23.01,2012
"326",12331,18656,6.79,2012
"327",11335,24614,20.15,2012
"328",11026,2489,13.95,2012
"329",12855,20089,14.48,2012
"330",11828,16936,12.1,2012
"331",12161,62087,11.06,2012
"332",13008,4883,12.58,2012
"333",11018,4514,17.12,2012
"334",13319,23549,18.24,2012
"335",12077,18184,13.98,2012
"336",13451,4667,13.32,2012
"337",13950,9887,12.8,2012
"338",13353,17368,10.24,2012
"339",14790,31196,7.53,2012
"340",14701,9950,12.99,2012
"341",11480,2922,17.65,2012
"342",11356,5803,16.5,2012
"343",14483,2707,9.6,2012
"344",14715,1834,17.14,2012
"345",14290,29389,18,2012
"346",14703,7562,27.49,2012
"347",12495,1939,18.46,2012
"348",13332,10687,7.07,2012
"349",13985,17252,24.31,2012
"350",11447,604,15.84,2012
"351",11192,887,5.52,2012
"352",11059,19371,18.52,2012
"353",14875,22209,15.71,2012
"354",14578,860,22.99,2012
"355",14630,14707,8.78,2012
"356",14567,86676,7.74,2012
"357",13768,2349,15.64,2012
"358",13110,3104,16.97,2012
"359",13613,1920,16.48,2012
"360",12922,20243,14.35,2012
"361",12942,8622,27.99,2012
"362",13335,1281,11.55,2012
"363",12439,9950,21.9,2012
"364",14051,12620,17,2012
"365",13054,16756,16.13,2012
"366",14209,34536,6.99,2012
"367",12089,726,24.33,2012
"368",13872,3845,16,2012
"369",11287,4372,14.85,2012
"370",12913,9891,20.97,2012
"371",12813,2800,8.69,2012
"372",14455,11859,15.79,2012
"373",11131,8075,14.76,2012
"374",11140,2827,19.87,2012
"375",14151,5824,11.99,2012
"376",13442,3816,25,2012
"377",13676,42770,22.6,2012
"378",11436,2022,13,2012
"379",13732,35698,9.67,2012
"380",12576,50,22.97,2012
"381",13715,4826,9.29,2012
"382",12830,13075,9.79,2012
"383",13852,32459,12.55,2012
"384",13261,13061,19.81,2012
"385",13804,11127,4.89,2012
"386",13402,11732,15.98,2012
"387",12981,1511,26.43,2012
"388",14640,5477,14.52,2012
"389",11270,153,23.95,2012
"390",13144,5331,24,2012
"391",13966,NA,NA,2012
"392",11565,6212,20.26,2012
"393",12884,8573,5.49,2012
"394",14429,7082,18.29,2013
"395",13266,8182,16.2,2013
"396",11816,12470,13.85,2013
"397",12345,9349,10.25,2013
